"You will be redirected to QPay in a few seconds. If not please click on the redirect button.","In wenigen Sekunden erfolgt eine Weiterleitung zur Zahlung. Sollte keine Weiterleitung erfolgen klicken sie bitte auf den Button mit der Beschriftung 'Weiterleiten'."
"You will be redirected in a few seconds.","Sie werden in kürze weitergeleitet. Bitte haben sie ein wenig geduld."
"An error occured during the payment process:","Während des Bezahlvorganges ist ein Fehler aufgetreten:"
"The amount has been authorized and captured by QPay.","Die Zahlung wurde erfolgreich durchgeführt."
"Customer was rejected by QPay","Die Zahlung wurde abgelehnt."
"Order has been canceled.","Die Bestellung wurde abgebrochen."
"Customer was redirected to QPay.","Kunde wurde an das Zahlungsmodul weitergeleitet."
"Incorrect data was submitted","In der Verarbeitung ist ein Fehler aufgetreten."
"Error occured","Es ist ein Fehler aufgetreten."
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Weiter einkaufen</a>."
"QPay Transaction ID: %s","QPay-Auftragsnummer: %s"
"qenta_cc:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_select:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_elv:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_eps:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_maestro:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_pbx:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_psc:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_quick:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_wgp:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_paypal:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_sofortueberweisung:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_idl:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_banContactMisterCash:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_c2p:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_invoice:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_moneta:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_prozelewy:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"qenta_poli:You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"You will be redirected to QPay website when you place an order.","Sie werden nach der Bestellung zur Bezahlung zu unserem Zahlungsdienstleister Wirecard CEE weitergeleitet."
"Shopping basket","Warenkorb"
"Payment has not been processed yet.","Die Zahlung wurde noch nicht durchgeführt."
"Customer ID","Kundennummer (CUSTOMERID)"
"Displayed Text","Angezeigter Text (DISPLAYTEXT)"
"Enabled","Aktiviert"
"Logo URL","URL des Logos (IMAGEURL)"
"New order status","Neuer Bestellstatus"
"Only needed if enabled by QPay","Nur einzutragen wenn von QPay eine SHOPID vergeben wurde."
"Payment to Specific countries","Zahlung aus bestimmten Ländern"
"Payment from applicable countries","Zahlung aus zugelassenen Ländern"
"Pre-shared secret key","Vorher vereinbarter geheimer Schlüssel"
"Secret Key","Geheimer Schlüssel (SECRET)"
"Service Page URL","URL der Service-/Kontaktseite (SERVICEURL)"
"Shop ID","SHOPID"
"Sort order","Reihenfolge"
"Show Issuedate Fields","Felder für Ausstellungsdatum anzeigen"
"Show Issuenumber Field","Feld für Ausstellungsnummer anzeigen"
"Only effects seamless configuration","Dies Option betrifft nur seamless Konfigurationen"
"Text which is shown together with order data (optional)","Text, der zusammen mit den Bestelldaten angezeigt wird (optional)"
"Title","Titel"
"URL pointing to the image of logo (optional; use relative path)","URL des Logos (optional; relativen Pfad angeben)"
"URL pointing to the service page (use relative path)","URL der Service/ Kontaktseite (relativen Pfad angeben)"
"Sorry, your payment has not confirmed by the payment provider.","Die Zahlung wurde leider nicht durch das Zahlungssystem bestätigt."
"redirect","Weiterleiten"
"Background color","Hintergrundfarbe"
"Background color of payment form after redirection. RGB, for example: F5F5F5","Hintergrundfarbe des Bezahlformulars. RGB, zum Beispiel: F5F5F5"
"Send additional consumer information","Sende zusätzliche Konsumenten-Informationen"
"Include additional consumer data to redirect request. (e.g. billing address information)","Sende zusätzliche Konsumenten-Informationen an die Bezahlseite. (z.B. Rechnungsadresse)"
